DMU(1),ILF(2),WF(3),INV(4),GIOV(5),P&T(6),RS(7),COLOR(8)
1,110.22,794509,724255,2374342,680119,12790,1
2,31.34,183319,101556,473369,118062,3460,2
3,18.12,99307,83395,255540,50355,2652,3
4,46.86,304726,173655,734613,150853,4381,2
5,77.39,443862,210947,1037584,189878,5233,2
6,37.96,282373,198278,753961,194512,3708,2
7,16.03,96623,103560,222634,43984,2222,3
8,50.92,389641,354879,1154147,275588,8362,2
9,17.52,101368,76476,257718,72917,1118,3
10,34.32,212524,120028,726172,159354,4106,2
11,48.2,356752,138972,672427,124508,3856,2
12,17.02,95076,56690,270087,62387,1486,3
13,10.15,56096,42493,127132,33069,852,3
14,26.39,152034,78312,441724,109039,2441,2
15,27.59,168224,112871,439756,117719,2148,2
16,35.89,235416,107328,580669,140557,2151,2
17,0.44,1908,7394,1665,286,398,3
18,23.3,129132,42700,317158,61472,1663,3
19,42.18,269246,222623,836544,208006,3779,2
20,11.33,59166,36627,176140,139399,1253,2
21,13.52,69895,72845,320516,74492,2866,3
22,206.73,1577603,959226,6743346,1880041,18316,1
23,68.62,419358,198494,1017454,195987,5072,2
24,3.41,35478,278230,78313,11461,2778,3
25,24.88,138931,68661,453445,94216,1745,3
26,38.34,221065,170776,513907,84812,1896,3
27,98.38,628243,541587,2252611,538202,6895,1
28,15.97,94622,130771,204232,38294,1323,3
29,64.87,442813,183811,1218527,295199,5090,2
30,6.48,46821,97627,130646,37698,1109,3
31,46.2,294539,140906,635575,101261,3292,2
32,10.54,74188,45629,100509,18627,858,3
33,5.06,30959,46014,59757,11458,524,3
34,28.09,144141,86791,413025,105784,2359,2
35,1.26,12504,86457,35760,6667,1046,3
